0,1,2,3,4,target
630.0,0.0,0.1016,31.7,0.00150092,126.413
2500.0,12.3,0.1016,39.6,0.0408268,113.315
800.0,15.6,0.1016,71.3,0.0437259,124.188
315.0,7.3,0.2286,71.3,0.0104404,139.808
400.0,5.4,0.1524,55.5,0.00433288,126.807
20000.0,4.0,0.2286,71.3,0.00400603,109.638
8000.0,4.2,0.0508,71.3,0.00142788,125.268
10000.0,0.0,0.1016,39.6,0.00146332,119.561
630.0,0.0,0.3048,39.6,0.00310138,128.629
400.0,8.4,0.0508,39.6,0.00566229,120.015
8000.0,7.2,0.1524,39.6,0.00909175,111.588
5000.0,17.4,0.0254,55.5,0.0165706,118.941
2000.0,3.3,0.1016,55.5,0.002211,133.649
400.0,3.0,0.3048,39.6,0.00495741,125.472
500.0,17.4,0.0254,39.6,0.0172206,117.514
250.0,19.7,0.0508,71.3,0.0341183,119.115
6300.0,4.0,0.2286,39.6,0.00473801,114.249
5000.0,4.0,0.3048,39.6,0.00579636,113.733
2000.0,4.0,0.3048,71.3,0.00497773,124.395
16000.0,1.5,0.3048,71.3,0.00336729,106.582
3150.0,17.4,0.0254,31.7,0.0176631,123.466
1000.0,19.7,0.0508,71.3,0.0341183,121.885
5000.0,0.0,0.3048,71.3,0.00266337,121.301
250.0,9.5,0.0254,39.6,0.00449821,116.924
1250.0,5.4,0.1524,31.7,0.00525474,123.991
400.0,9.9,0.1524,55.5,0.0208438,131.605
2000.0,7.2,0.1524,39.6,0.00909175,120.228
3150.0,12.3,0.1016,71.3,0.0337792,120.798
5000.0,7.3,0.2286,31.7,0.0132672,111.029
1600.0,9.5,0.0254,31.7,0.00461377,131.036
1250.0,3.3,0.1016,55.5,0.002211,132.769
315.0,12.6,0.1524,71.3,0.0483159,128.484
3150.0,3.3,0.1016,39.6,0.00245138,128.401
630.0,5.4,0.1524,31.7,0.00525474,131.471
4000.0,15.4,0.0508,71.3,0.0264269,122.675
8000.0,7.2,0.1524,71.3,0.00752039,113.333
800.0,0.0,0.1016,39.6,0.00146332,128.401
5000.0,3.0,0.3048,55.5,0.00452492,117.309
200.0,17.4,0.0254,55.5,0.0165706,109.951
500.0,15.6,0.1016,71.3,0.0437259,130.638
6300.0,4.0,0.2286,71.3,0.00400603,118.618
2000.0,12.3,0.1016,55.5,0.0368233,118.564
630.0,0.0,0.2286,55.5,0.00229336,126.16
200.0,9.5,0.0254,31.7,0.00461377,119.146
400.0,5.4,0.1524,39.6,0.00485029,127.637
800.0,15.6,0.1016,39.6,0.0528487,118.964
800.0,0.0,0.2286,55.5,0.00229336,127.53
3150.0,22.2,0.0254,71.3,0.0214178,124.127
3150.0,2.0,0.2286,31.7,0.00372371,121.527
4000.0,15.4,0.0508,31.7,0.0289853,115.635
1600.0,15.6,0.1016,71.3,0.0437259,121.528
500.0,9.5,0.0254,39.6,0.00449821,123.894
250.0,0.0,0.3048,31.7,0.00331266,118.595
2000.0,0.0,0.3048,55.5,0.00283081,126.616
1250.0,2.0,0.2286,31.7,0.00372371,128.677
1250.0,17.4,0.0254,55.5,0.0165706,129.301
3150.0,0.0,0.1524,31.7,0.00209405,124.207
6300.0,4.0,0.2286,55.5,0.0042862,117.154
2000.0,9.5,0.0254,55.5,0.0043284,134.052
10000.0,4.8,0.0254,39.6,0.000907475,126.066
