0,1,2,3,4,5,6,7,target
68.01,92.593,3.0,-0.283,2.17,0.893,3.0,1.0,3.775
54.57,41.028,0.0,3.234,2.901,1.984,0.0,0.0,4.862
29.1,43.156,1.0,3.076,2.438,0.773,1.0,1.0,4.714
40.46,85.367,2.0,-1.053,1.334,1.827,0.0,0.0,0.122
39.44,45.652,0.0,4.332,4.121,1.12,0.0,1.0,8.164
20.23,42.683,1.0,-0.814,1.0,2.353,0.0,0.0,0.989
134.73,159.536,2.0,1.649,2.527,0.818,3.0,1.0,3.138
45.34,34.106,0.0,1.297,2.042,1.933,0.0,0.0,2.829
49.57,64.63,0.0,-0.259,1.989,1.103,3.0,1.0,3.34
0.0,0.0,0.0,3.259,2.048,1.111,0.0,0.0,3.772
38.77,22.156,0.0,2.779,2.639,0.859,0.0,0.0,4.001
0.0,44.88,0.0,2.419,1.509,0.731,0.0,0.0,3.954
74.92,138.783,1.0,3.16,2.827,1.14,2.0,1.0,5.301
38.33,54.156,1.0,2.222,2.725,1.012,1.0,0.0,5.942
0.0,0.0,0.0,5.472,2.676,0.577,0.0,0.0,5.64
45.82,50.747,0.0,2.842,2.141,0.726,1.0,0.0,4.611
76.66,108.311,2.0,2.087,3.468,1.137,2.0,0.0,4.652
0.0,0.0,0.0,2.942,1.989,1.063,0.0,0.0,4.502
0.0,0.0,0.0,3.291,1.549,2.0,0.0,0.0,4.927
70.14,50.908,3.0,0.59,1.909,0.907,2.0,0.0,3.85
0.0,0.0,0.0,3.677,2.324,0.868,0.0,0.0,5.001
0.0,0.0,0.0,2.226,1.401,0.57,0.0,0.0,3.492
29.46,53.683,1.0,1.629,2.353,1.2,0.0,0.0,2.614
38.69,64.683,1.0,-0.129,2.15,1.971,0.0,0.0,1.53
20.23,42.683,1.0,3.314,2.027,0.409,0.0,0.0,4.495
45.82,50.747,0.0,2.241,2.108,0.942,1.0,0.0,4.04
0.0,0.0,0.0,3.516,1.678,1.667,0.0,0.0,4.34
100.87,112.494,0.0,3.275,2.661,1.243,2.0,0.0,5.636
18.46,22.0,0.0,1.262,2.147,1.576,0.0,0.0,2.272
58.92,107.366,2.0,-0.937,2.299,1.936,0.0,0.0,0.46
17.07,25.145,0.0,1.769,1.989,0.927,0.0,0.0,3.976
45.82,50.747,0.0,2.241,2.119,0.942,1.0,0.0,4.01
111.87,144.177,1.0,2.702,2.626,1.047,2.0,0.0,6.0
20.23,42.683,1.0,2.637,2.344,0.758,0.0,0.0,4.61
42.52,44.313,0.0,2.777,2.643,1.055,0.0,0.0,4.57
0.0,0.0,0.0,2.734,1.857,0.831,0.0,0.0,3.89
75.01,128.306,1.0,1.146,3.505,1.232,3.0,1.0,3.674
75.39,67.204,0.0,2.981,2.784,1.072,1.0,2.0,6.475
59.32,123.084,0.0,4.217,4.111,0.994,1.0,2.0,8.678
52.6,72.29,0.0,2.005,2.468,1.281,0.0,2.0,3.77
94.89,20.765,0.0,2.492,2.659,1.194,0.0,0.0,6.79
0.0,0.0,0.0,2.604,1.475,0.505,0.0,0.0,3.46
0.0,0.0,0.0,2.942,1.908,1.063,0.0,0.0,3.791
45.61,28.269,0.0,3.092,2.814,0.948,1.0,0.0,5.548
203.06,358.244,6.0,0.957,5.839,1.345,0.0,1.0,4.566
35.53,47.145,0.0,4.579,3.875,1.124,0.0,1.0,7.693
95.37,54.336,0.0,2.433,2.915,1.394,2.0,0.0,8.564
0.0,0.0,0.0,2.608,1.857,1.0,0.0,0.0,3.002
67.79,107.839,2.0,2.347,3.243,1.4,1.0,1.0,3.917
100.39,91.775,0.0,2.682,2.903,1.823,1.0,0.0,9.141
41.13,61.166,2.0,-1.095,1.726,1.463,2.0,0.0,1.188
20.31,28.269,0.0,0.198,1.782,1.559,1.0,1.0,4.906
0.0,0.0,0.0,4.76,2.859,0.7,0.0,0.0,6.173
105.86,19.91,0.0,0.623,2.116,0.508,2.0,0.0,5.922
0.0,0.0,0.0,3.124,1.8,1.417,0.0,0.0,4.34
0.0,0.0,0.0,2.419,1.225,0.667,0.0,0.0,3.74
115.41,71.512,0.0,1.602,2.687,1.288,1.0,0.0,7.341
182.83,315.561,5.0,1.662,5.831,1.351,0.0,1.0,3.884
34.14,50.29,0.0,0.076,1.84,1.493,0.0,0.0,3.788
0.0,0.0,0.0,3.562,2.119,1.15,0.0,0.0,4.317
0.0,0.0,0.0,3.259,1.975,1.111,0.0,0.0,4.53
56.15,36.022,2.0,0.59,1.879,1.001,2.0,0.0,2.838
0.0,0.0,0.0,1.672,1.334,0.562,0.0,0.0,2.642
73.58,63.842,2.0,0.894,3.136,1.388,3.0,0.0,3.008
102.78,20.263,0.0,3.322,2.901,0.874,0.0,0.0,7.676
0.0,0.0,0.0,2.226,1.265,2.5,0.0,0.0,3.643
44.45,16.786,0.0,3.265,2.134,0.637,1.0,1.0,6.131
87.43,55.411,2.0,-1.222,1.575,1.362,1.0,0.0,6.618
39.94,104.289,0.0,4.281,3.357,1.002,3.0,0.0,4.713
45.82,50.747,0.0,3.11,2.16,0.478,1.0,0.0,4.66
50.24,26.663,0.0,3.247,2.789,1.206,1.0,1.0,6.074
40.46,85.367,2.0,3.635,3.12,1.03,0.0,0.0,4.962
0.0,59.84,0.0,1.817,1.43,1.988,0.0,0.0,2.018
26.02,32.897,2.0,2.729,1.975,0.462,1.0,0.0,4.742
0.0,0.0,0.0,3.478,1.918,0.575,0.0,0.0,4.304
36.6,20.263,0.0,1.354,1.89,2.073,3.0,0.0,1.43
63.22,80.144,0.0,1.936,3.852,1.151,0.0,0.0,8.028
86.52,117.437,2.0,2.031,2.679,1.198,6.0,1.0,6.447
91.64,101.494,0.0,2.507,2.334,0.543,2.0,0.0,5.402
54.57,41.028,0.0,4.449,2.988,1.497,0.0,0.0,6.56
26.02,32.897,2.0,2.729,1.979,0.462,1.0,0.0,5.16
20.23,42.683,1.0,2.729,1.975,0.5,0.0,0.0,4.797
92.14,107.097,1.0,4.275,4.174,1.174,1.0,1.0,4.112
0.0,0.0,0.0,3.795,1.975,0.657,0.0,0.0,5.42
114.76,56.999,1.0,-0.755,2.214,1.033,1.0,1.0,5.13
336.43,551.098,16.0,-5.199,4.3,1.373,7.0,0.0,3.077
35.25,43.897,2.0,1.246,2.056,1.081,1.0,0.0,5.571
17.07,25.145,0.0,0.202,1.225,1.66,0.0,0.0,0.673
65.72,101.271,2.0,-0.234,1.975,1.091,2.0,1.0,3.716
17.07,25.145,0.0,0.202,1.334,1.66,0.0,0.0,2.815
0.0,0.0,0.0,4.063,1.975,0.499,0.0,0.0,4.83
20.23,42.683,1.0,0.347,1.334,0.961,0.0,0.0,2.579
115.41,71.512,0.0,2.223,2.903,1.295,1.0,0.0,8.15
54.57,41.028,0.0,4.789,3.58,1.505,0.0,0.0,5.512
278.8,413.191,5.0,-0.321,6.439,1.557,11.0,11.0,4.779
237.75,223.047,8.0,0.083,3.249,1.04,7.0,1.0,2.928
26.02,32.897,2.0,3.314,2.031,0.366,1.0,0.0,4.761
38.33,54.156,1.0,2.391,2.612,1.293,1.0,0.0,6.32
13.14,9.507,0.0,2.859,2.614,0.827,0.0,0.0,4.995
20.31,28.269,0.0,-0.273,1.401,2.073,1.0,1.0,0.704
132.42,196.332,2.0,4.478,4.984,1.087,4.0,0.0,5.44
0.0,0.0,0.0,5.989,2.758,0.529,0.0,0.0,8.16
0.0,0.0,0.0,2.459,1.475,1.5,0.0,0.0,4.002
52.6,72.29,0.0,3.618,3.197,1.356,0.0,2.0,4.878
0.0,0.0,0.0,2.226,1.509,0.826,0.0,0.0,2.608
13.14,9.507,0.0,3.743,2.995,0.783,0.0,0.0,4.737
26.3,36.145,0.0,0.586,1.577,1.881,0.0,1.0,2.09
118.65,210.6,1.0,3.773,3.759,0.95,1.0,2.0,4.501
55.84,75.414,0.0,1.907,2.892,1.439,1.0,2.0,3.536
0.0,14.96,0.0,2.026,1.265,0.722,0.0,0.0,3.577
40.46,85.367,2.0,0.706,1.689,1.594,0.0,0.0,1.22
20.23,42.683,1.0,1.859,1.908,0.949,0.0,0.0,3.863
37.3,67.828,1.0,3.23,2.63,1.166,0.0,1.0,4.355
65.57,76.79,1.0,0.489,1.999,1.533,0.0,0.0,7.699
52.6,72.29,0.0,2.577,2.707,1.313,0.0,2.0,3.603
0.0,0.0,0.0,2.226,1.401,0.826,0.0,0.0,3.339
79.93,16.786,1.0,1.769,2.239,0.793,1.0,0.0,4.494
86.34,105.331,1.0,1.616,2.97,0.983,5.0,0.0,4.168
41.57,57.28,1.0,1.838,2.611,1.175,2.0,0.0,3.155
32.67,47.536,0.0,3.223,2.773,0.881,2.0,0.0,4.403
0.0,0.0,0.0,4.416,2.591,0.723,0.0,0.0,5.641
75.74,93.694,3.0,2.195,4.365,1.086,2.0,0.0,5.132
111.56,99.4,2.0,0.658,3.426,1.189,4.0,0.0,2.685
56.15,36.022,2.0,1.971,2.472,1.144,2.0,0.0,3.52
29.46,53.683,1.0,1.246,2.031,1.114,0.0,0.0,3.68
28.24,0.0,0.0,3.169,2.238,0.711,0.0,0.0,4.025
17.07,25.145,0.0,1.442,1.84,1.58,0.0,0.0,4.039
63.87,6.249,0.0,0.198,1.975,0.858,2.0,0.0,5.47
115.41,71.512,0.0,1.919,2.72,1.291,1.0,0.0,7.671
80.74,61.166,2.0,-0.31,1.918,0.578,2.0,1.0,4.221
94.88,149.498,0.0,4.207,3.047,1.283,3.0,0.0,6.24
