0,1,2,3,4,5,6,7,8,target
165.0,150.0,0.0,182.0,12.0,1023.0,729.0,14.5,20.0,18.26
336.0,134.0,0.0,222.0,6.0,756.0,787.0,26.0,64.0,31.9
162.0,148.0,191.0,179.0,16.0,840.0,743.0,1.0,20.0,41.81
160.0,0.0,250.0,168.0,12.0,1049.0,688.0,18.0,48.0,37.66
322.0,116.0,0.0,196.0,10.0,818.0,813.0,25.5,67.0,29.77
296.0,97.0,0.0,219.0,9.0,932.0,685.0,15.0,48.5,29.23
184.3,153.4,239.2,179.0,7.5,920.2,640.9,0.0,20.0,41.01
291.0,105.0,0.0,205.0,6.0,859.0,797.0,24.0,59.0,27.62
159.0,193.0,0.0,208.0,12.0,821.0,818.0,23.0,50.0,19.19
252.0,76.0,97.0,194.0,8.0,835.0,821.0,23.0,54.0,33.11
143.3,91.8,239.8,200.8,6.2,964.8,647.1,25.0,55.0,27.09
366.0,0.0,187.0,191.0,7.0,824.0,757.0,24.75,62.7,52.65
314.0,0.0,161.0,207.0,6.0,851.0,757.0,21.5,64.0,41.14
298.0,107.0,0.0,186.0,6.0,879.0,815.0,3.0,20.0,30.97
310.0,0.0,143.0,168.0,10.0,914.0,804.0,20.5,48.2,49.3
291.0,104.0,0.0,231.0,9.0,857.0,725.0,23.0,69.0,30.43
348.7,0.1,223.1,208.5,9.6,786.2,758.1,29.0,78.0,48.77
320.0,127.0,164.0,211.0,6.0,721.0,723.0,2.0,20.0,46.36
303.8,0.2,239.8,236.4,8.3,780.1,715.3,25.0,78.0,44.48
158.0,0.0,246.0,174.0,7.0,1035.0,706.0,19.0,43.0,34.99
148.0,180.0,0.0,183.0,11.0,972.0,757.0,0.0,20.0,18.52
305.0,100.0,0.0,196.0,10.0,959.0,705.0,20.0,49.0,29.77
159.0,0.0,187.0,176.0,11.0,990.0,789.0,12.0,39.0,32.57
273.0,82.0,105.0,210.0,9.0,904.0,680.0,23.0,62.0,34.99
140.0,1.4,198.1,174.9,4.4,1049.9,780.5,16.25,31.0,30.83
342.0,136.0,0.0,225.0,11.0,770.0,747.0,21.0,61.0,32.04
354.0,0.0,0.0,234.0,6.0,959.0,691.0,17.0,54.0,33.91
287.0,94.0,121.0,188.0,9.0,904.0,696.0,25.0,61.0,43.01
265.0,86.0,111.0,195.0,6.0,833.0,790.0,27.0,60.0,37.39
152.0,0.0,237.0,204.0,6.0,785.0,892.0,15.5,51.0,32.71
310.0,0.0,143.0,218.0,10.0,787.0,804.0,13.0,46.0,36.19
140.2,30.5,239.0,169.4,5.3,1028.4,742.7,21.25,46.0,36.32
299.0,107.0,0.0,210.0,10.0,881.0,745.0,25.0,63.0,28.29
152.0,139.0,178.0,168.0,18.0,944.0,695.0,0.0,20.0,38.86
156.0,0.0,243.0,180.0,11.0,1022.0,698.0,21.0,57.0,33.78
280.0,92.0,118.0,207.0,9.0,883.0,679.0,25.5,64.0,37.39
140.5,61.1,238.9,182.5,5.7,1017.7,681.4,24.5,60.0,30.97
142.0,130.0,167.0,215.0,6.0,735.0,836.0,25.5,67.0,31.37
322.0,0.0,149.0,186.0,8.0,951.0,709.0,20.5,61.5,45.42
141.1,0.6,209.5,188.8,4.6,996.1,789.2,23.5,53.0,30.43
321.0,0.0,164.0,190.0,5.0,870.0,774.0,24.0,60.0,45.82
288.0,0.0,121.0,177.0,7.0,908.0,829.0,22.5,48.5,39.93
159.0,0.0,248.0,175.0,12.0,1041.0,683.0,21.0,51.0,35.39
146.0,106.0,137.0,209.0,6.0,875.0,765.0,24.0,67.0,27.89
140.1,4.2,215.9,193.9,4.7,1049.5,710.1,24.5,57.0,26.42
313.0,124.0,0.0,205.0,11.0,846.0,758.0,22.0,49.0,29.63
295.3,0.0,239.9,236.2,8.3,780.3,722.9,25.0,77.0,44.08
320.0,0.0,163.0,188.0,9.0,866.0,776.0,23.5,60.0,45.69
150.4,110.9,239.7,168.1,6.5,1000.2,667.2,9.5,27.5,37.92
248.3,101.0,239.1,168.9,7.7,954.2,640.6,0.0,20.0,49.97
160.0,146.0,188.0,203.0,11.0,829.0,710.0,13.0,38.0,33.51
162.0,148.0,190.0,179.0,19.0,838.0,741.0,3.0,21.5,42.08
295.0,106.0,136.0,206.0,11.0,750.0,766.0,25.0,68.5,41.01
261.0,78.0,100.0,201.0,9.0,864.0,761.0,23.0,63.5,34.18
313.0,112.0,0.0,220.0,10.0,794.0,789.0,23.0,58.0,28.16
248.0,101.0,239.9,169.1,7.7,949.9,644.1,2.0,20.0,50.23
143.0,131.0,168.0,217.0,6.0,891.0,672.0,25.0,69.0,26.42
146.0,178.0,0.0,192.0,11.0,961.0,749.0,18.0,46.0,17.19
148.0,109.0,139.0,193.0,7.0,768.0,902.0,23.75,58.0,28.03
298.0,107.0,137.0,201.0,6.0,878.0,655.0,16.0,26.0,41.27
295.0,106.0,136.0,208.0,6.0,871.0,650.0,26.5,70.0,39.4
297.1,40.9,239.9,194.0,7.5,908.9,651.8,27.5,67.0,49.17
140.0,128.0,164.0,183.0,12.0,871.0,775.0,23.75,53.0,33.38
276.0,90.0,116.0,180.0,9.0,870.0,768.0,0.0,20.0,44.08
165.3,143.2,238.3,200.4,7.1,883.2,652.6,17.0,27.0,32.84
150.3,111.4,238.8,167.3,6.5,999.5,670.5,14.5,36.5,38.19
326.0,0.0,167.0,174.0,6.0,884.0,792.0,21.5,42.0,52.65
147.0,89.0,115.0,202.0,9.0,860.0,829.0,23.0,55.0,25.21
332.0,0.0,170.0,160.0,6.0,900.0,806.0,0.0,20.0,58.53
142.0,130.0,167.0,174.0,11.0,883.0,785.0,0.0,20.0,36.72
145.0,177.0,227.0,209.0,11.0,752.0,715.0,2.5,20.0,35.66
