0,1,2,3,4,5,target
-2.3,0.53,4.76,3.68,3.16,0.225,1.15
-2.3,0.53,4.76,3.68,3.16,0.425,37.38
-2.3,0.6,5.1,4.17,3.51,0.275,3.04
-2.4,0.568,4.34,2.98,3.15,0.25,1.67
-2.3,0.6,5.1,4.17,3.51,0.225,1.24
-2.3,0.53,5.11,3.69,3.51,0.35,7.84
-2.3,0.568,4.78,3.99,3.17,0.275,2.61
-2.3,0.562,5.14,4.95,3.17,0.25,2.23
0.0,0.565,5.1,3.94,3.51,0.175,0.5
-2.3,0.568,4.78,3.99,3.17,0.2,0.78
-2.4,0.585,4.78,3.84,3.32,0.25,1.98
0.0,0.53,4.78,3.75,3.15,0.425,41.77
-2.4,0.568,4.34,2.98,3.15,0.15,0.26
-5.0,0.6,4.78,4.24,3.15,0.45,50.94
-2.3,0.564,5.1,3.95,3.53,0.325,5.19
-2.4,0.574,4.36,3.96,2.76,0.425,33.97
0.0,0.565,4.77,3.99,3.15,0.425,38.12
-2.3,0.6,5.1,4.17,3.51,0.45,47.13
-2.3,0.6,5.1,4.17,3.51,0.25,1.96
-5.0,0.53,4.78,3.75,3.15,0.45,55.87
0.0,0.53,4.78,3.75,3.15,0.375,16.31
-2.4,0.574,4.36,3.96,2.76,0.35,8.03
-2.3,0.6,5.1,4.17,3.51,0.375,12.39
-2.3,0.53,4.76,3.68,3.16,0.25,1.65
-2.4,0.585,4.78,3.84,3.32,0.375,12.15
0.0,0.565,5.1,3.94,3.51,0.125,0.08
-2.3,0.562,5.14,4.95,3.17,0.325,5.82
-2.3,0.6,4.34,4.23,2.73,0.2,0.64
-2.3,0.569,4.78,3.04,3.64,0.375,11.99
0.0,0.6,4.78,4.24,3.15,0.175,0.4
-2.3,0.568,4.78,3.99,3.17,0.325,4.99
-5.0,0.565,5.1,3.94,3.51,0.125,0.08
-2.3,0.53,5.11,3.69,3.51,0.25,1.57
-2.3,0.565,4.78,5.35,2.76,0.4,21.4
-2.3,0.569,4.78,3.04,3.64,0.125,0.04
-2.2,0.546,4.78,4.13,3.07,0.125,0.15
-5.0,0.565,5.1,3.94,3.51,0.275,2.59
-2.3,0.568,4.78,3.99,3.17,0.35,7.16
-2.3,0.562,5.14,4.95,3.17,0.45,47.29
-2.4,0.574,4.36,3.96,2.76,0.325,5.19
-5.0,0.565,5.1,3.94,3.51,0.3,3.85
-2.4,0.568,4.34,2.98,3.15,0.3,3.43
-2.3,0.568,4.78,3.99,3.17,0.225,1.18
-2.3,0.53,4.34,2.81,3.15,0.425,41.34
-2.3,0.6,5.1,4.17,3.51,0.2,0.73
-2.3,0.565,4.78,5.35,2.76,0.3,4.21
-2.3,0.53,5.11,3.69,3.51,0.125,0.08
-2.2,0.546,4.78,4.13,3.07,0.15,0.32
-5.0,0.565,5.1,3.94,3.51,0.225,1.19
-5.0,0.565,4.77,3.99,3.15,0.375,12.71
0.0,0.53,4.78,3.75,3.15,0.2,0.92
-2.3,0.564,5.1,3.95,3.53,0.175,0.65
