0,1,2,3,4,target
200.0,8.9,0.1016,71.3,0.0103088,133.503
200.0,17.4,0.0254,31.7,0.0176631,116.146
2500.0,5.4,0.1524,71.3,0.00401199,127.591
800.0,9.5,0.0254,31.7,0.00461377,130.746
1250.0,3.3,0.1016,39.6,0.00245138,133.211
800.0,2.0,0.2286,39.6,0.00346574,129.037
630.0,12.3,0.1016,31.7,0.0418756,119.287
630.0,12.6,0.1524,71.3,0.0483159,123.304
1250.0,7.3,0.2286,55.5,0.0111706,125.724
500.0,0.0,0.1524,39.6,0.00193287,119.513
315.0,15.4,0.0508,39.6,0.0282593,124.493
2000.0,12.3,0.1016,71.3,0.0337792,122.218
1600.0,5.4,0.1524,39.6,0.00485029,126.267
10000.0,2.0,0.2286,71.3,0.00293031,113.086
1000.0,9.9,0.1524,55.5,0.0208438,124.665
6300.0,4.2,0.0508,71.3,0.00142788,129.308
400.0,7.2,0.1524,39.6,0.00909175,132.118
500.0,12.3,0.1016,71.3,0.0337792,140.158
1250.0,0.0,0.1524,31.7,0.00209405,131.467
1250.0,12.3,0.1016,39.6,0.0408268,121.165
250.0,11.2,0.0508,71.3,0.014072,127.101
8000.0,0.0,0.0508,55.5,0.00076193,130.156
5000.0,9.5,0.0254,55.5,0.0043284,128.412
5000.0,2.7,0.1524,71.3,0.00243851,124.364
400.0,8.4,0.0508,31.7,0.00580776,120.076
630.0,5.3,0.2286,71.3,0.0051942,131.8
12500.0,4.8,0.0254,55.5,0.000873218,125.094
2500.0,0.0,0.1016,55.5,0.00131983,133.04
1000.0,15.4,0.0508,39.6,0.0282593,127.893
16000.0,0.0,0.3048,71.3,0.00266337,108.721
1600.0,3.3,0.1016,55.5,0.002211,133.649
3150.0,17.4,0.0254,71.3,0.016104,126.536
800.0,12.7,0.0254,71.3,0.0121808,130.348
400.0,4.0,0.3048,39.6,0.00579636,128.633
800.0,0.0,0.1524,71.3,0.0015988,125.817
5000.0,0.0,0.3048,39.6,0.00310138,117.789
5000.0,12.3,0.1016,39.6,0.0408268,108.625
1600.0,4.8,0.0254,39.6,0.000907475,125.966
1000.0,4.0,0.3048,71.3,0.00497773,131.015
1250.0,3.0,0.3048,71.3,0.00425727,127.634
1250.0,8.4,0.0508,71.3,0.00529514,132.086
