0,1,2,3,4,5,6,7,target
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,7.0,13.71
333.0,0.0,0.0,192.0,0.0,931.2,842.6,90.0,41.68
382.5,0.0,0.0,185.7,0.0,1047.8,739.3,7.0,24.07
251.8,0.0,99.9,146.1,12.3,1006.0,899.8,3.0,21.02
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,100.0,33.54
491.0,26.0,123.0,201.0,3.9,822.0,699.0,28.0,57.92
255.0,0.0,0.0,192.0,0.0,889.8,945.0,3.0,8.2
141.3,212.0,0.0,203.5,0.0,971.8,748.5,7.0,10.39
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,100.0,66.95
382.0,0.0,0.0,186.0,0.0,1111.0,784.0,7.0,11.47
238.1,0.0,94.1,186.7,7.0,949.9,847.0,14.0,25.69
366.0,187.0,0.0,191.0,7.0,824.0,757.0,28.0,65.91
166.8,250.2,0.0,203.5,0.0,975.6,692.6,90.0,43.57
296.0,0.0,106.7,221.4,10.5,819.2,778.4,28.0,31.42
234.0,156.0,0.0,189.0,5.8,981.0,760.0,28.0,39.3
167.9,42.1,163.8,121.8,5.7,1058.7,780.1,3.0,7.75
157.0,236.0,0.0,192.0,0.0,935.4,781.2,28.0,33.66
287.3,120.5,93.9,187.6,9.2,904.4,695.9,28.0,43.8
236.0,0.0,0.0,193.0,0.0,968.0,885.0,180.0,24.1
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,14.0,20.08
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,3.0,41.64
393.0,0.0,0.0,192.0,0.0,940.6,785.6,7.0,27.74
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,100.0,40.57
255.5,170.3,0.0,185.7,0.0,1026.6,724.3,28.0,32.05
144.0,0.0,175.0,158.0,18.0,943.0,844.0,28.0,15.42
380.0,95.0,0.0,228.0,0.0,932.0,594.0,28.0,36.45
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,28.0,33.61
425.0,106.3,0.0,151.4,18.6,936.0,803.7,3.0,36.3
236.0,0.0,0.0,194.0,0.0,968.0,885.0,3.0,6.47
155.0,183.0,0.0,193.0,9.0,1047.0,697.0,28.0,18.28
153.0,145.0,0.0,178.0,8.0,1000.0,822.0,28.0,19.01
167.0,75.4,167.0,164.0,7.9,1007.3,770.1,14.0,32.9
141.3,212.0,0.0,203.5,0.0,971.8,748.5,90.0,39.66
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,28.0,44.09
303.6,139.9,0.0,213.5,6.2,895.5,722.5,28.0,33.42
277.0,0.0,0.0,191.0,0.0,968.0,856.0,90.0,31.25
446.0,24.0,79.0,162.0,11.6,967.0,712.0,56.0,56.14
182.0,45.2,122.0,170.2,8.2,1059.4,780.6,28.0,31.27
152.0,178.0,139.0,168.0,18.0,944.0,695.0,28.0,36.35
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28.0,28.24
318.8,212.5,0.0,155.7,14.3,852.1,880.4,56.0,66.1
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3.0,35.3
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3.0,35.3
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3.0,35.3
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3.0,35.3
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,100.0,45.84
153.0,239.0,0.0,200.0,6.0,1002.0,684.0,28.0,26.86
165.0,0.0,150.0,182.0,12.0,1023.0,729.0,28.0,18.03
212.0,141.3,0.0,203.5,0.0,973.4,750.0,90.0,39.7
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,3.0,17.57
480.0,0.0,0.0,192.0,0.0,936.2,712.2,90.0,54.32
275.1,0.0,121.3,159.5,9.9,1053.6,777.5,3.0,23.8
469.0,117.2,0.0,137.8,32.2,852.1,840.5,7.0,54.9
397.0,0.0,0.0,185.7,0.0,1040.6,734.3,28.0,33.08
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,7.0,42.42
158.8,238.2,0.0,185.7,0.0,1040.6,734.3,28.0,21.07
153.0,102.0,0.0,192.0,0.0,888.0,943.1,7.0,8.37
397.0,0.0,0.0,186.0,0.0,1040.0,734.0,28.0,36.94
155.0,183.0,0.0,193.0,9.0,877.0,868.0,28.0,23.79
387.0,20.0,94.0,157.0,13.9,938.0,845.0,56.0,47.97
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,90.0,40.66
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,14.0,36.99
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3.0,33.4
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3.0,33.4
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3.0,33.4
153.0,102.0,0.0,192.0,0.0,888.0,943.1,90.0,26.32
251.4,0.0,118.3,188.4,5.8,1028.4,757.7,28.0,29.65
193.5,290.2,0.0,185.7,0.0,998.2,704.3,28.0,32.63
218.8,0.0,124.1,158.5,11.3,1078.7,794.9,3.0,15.34
260.9,100.5,78.3,200.6,8.6,864.5,761.5,28.0,32.4
310.0,0.0,0.0,192.0,0.0,970.0,850.0,28.0,27.92
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,14.0,22.32
516.0,0.0,0.0,162.0,8.3,801.0,802.0,28.0,41.37
401.8,94.7,0.0,147.4,11.4,946.8,852.1,91.0,75.5
302.0,0.0,0.0,203.0,0.0,974.0,817.0,28.0,21.75
250.0,0.0,95.7,187.4,5.5,956.9,861.2,3.0,13.82
202.0,11.0,141.0,206.0,1.7,942.0,801.0,56.0,23.25
275.1,0.0,121.3,159.5,9.9,1053.6,777.5,100.0,58.61
222.4,0.0,96.7,189.3,4.5,967.1,870.3,56.0,29.45
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,3.0,14.31
309.9,142.8,111.2,167.8,22.1,913.9,651.2,28.0,38.22
427.5,47.5,0.0,228.0,0.0,932.0,594.0,7.0,35.08
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,3.0,15.87
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,7.0,17.24
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28.0,71.3
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28.0,71.3
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28.0,71.3
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28.0,71.3
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,56.0,35.57
157.0,236.0,0.0,192.0,0.0,935.4,781.2,90.0,43.38
401.8,94.7,0.0,147.4,11.4,946.8,852.1,28.0,68.5
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,3.0,15.82
213.7,98.0,24.5,181.7,6.9,1065.8,785.4,56.0,50.77
401.8,94.7,0.0,147.4,11.4,946.8,852.1,7.0,54.1
331.0,0.0,0.0,192.0,0.0,978.0,825.0,360.0,41.24
446.0,24.0,79.0,162.0,11.6,967.0,712.0,56.0,55.25
250.0,0.0,95.7,187.4,5.5,956.9,861.2,56.0,38.33
295.7,0.0,95.6,171.5,8.9,955.1,859.2,100.0,52.04
151.6,0.0,111.9,184.4,7.9,992.0,815.9,28.0,12.18
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,14.0,29.55
446.0,24.0,79.0,162.0,11.6,967.0,712.0,7.0,38.02
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,90.0,58.78
318.0,0.0,126.0,210.0,6.0,861.0,737.0,28.0,40.06
500.1,0.0,0.0,200.0,3.0,1124.4,613.2,28.0,44.13
339.0,0.0,0.0,197.0,0.0,968.0,781.0,14.0,27.04
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,3.0,28.6
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,28.0,59.8
190.0,190.0,0.0,228.0,0.0,932.0,670.0,365.0,53.69
251.4,0.0,118.3,188.4,5.8,1028.4,757.7,100.0,43.58
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,3.0,13.62
375.0,93.8,0.0,126.6,23.4,852.1,992.6,56.0,60.2
154.8,0.0,142.8,193.3,9.1,877.2,867.7,28.0,9.74
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,56.0,34.2
401.8,94.7,0.0,147.4,11.4,946.8,852.1,3.0,41.1
277.1,0.0,97.4,160.6,11.8,973.9,875.6,56.0,51.04
385.0,0.0,0.0,186.0,0.0,966.0,763.0,3.0,14.7
266.0,114.0,0.0,228.0,0.0,932.0,670.0,270.0,51.73
