0,1,2,3,4,5,6,7,target
18.46,22.0,0.0,4.268,3.164,0.857,0.0,0.0,7.087
47.56,65.155,1.0,1.191,2.899,1.265,1.0,0.0,3.47
155.68,277.562,4.0,-1.358,3.033,1.552,2.0,4.0,3.103
66.05,93.43,1.0,1.348,2.09,0.784,1.0,0.0,4.024
12.89,16.786,0.0,2.66,2.408,0.976,1.0,0.0,3.618
52.49,103.377,3.0,-0.917,1.84,1.75,1.0,0.0,2.957
26.3,36.145,0.0,0.586,1.577,1.881,0.0,1.0,2.09
44.45,16.786,0.0,3.648,2.427,0.757,1.0,1.0,6.099
0.0,0.0,0.0,5.453,2.837,0.735,0.0,0.0,6.858
73.58,63.842,2.0,0.894,3.136,1.388,3.0,0.0,3.008
29.1,43.156,1.0,3.076,2.438,0.773,1.0,1.0,4.714
42.52,44.313,0.0,4.746,2.905,0.916,0.0,0.0,4.711
182.83,315.561,5.0,1.662,5.831,1.351,0.0,1.0,3.884
12.03,18.011,1.0,0.817,1.8,1.488,1.0,0.0,3.93
74.92,138.783,1.0,3.16,2.827,1.14,2.0,1.0,5.301
12.53,11.0,0.0,4.452,2.862,0.543,0.0,0.0,6.508
0.0,0.0,0.0,4.823,2.299,1.6,0.0,0.0,5.299
0.0,0.0,0.0,6.232,2.728,0.493,0.0,0.0,7.61
74.57,132.193,2.0,1.671,3.501,1.095,3.0,1.0,3.742
3.24,3.124,0.0,2.193,2.048,1.241,1.0,0.0,4.385
26.02,32.897,2.0,1.859,1.908,0.917,1.0,0.0,5.312
137.46,152.241,0.0,2.359,2.527,0.825,3.0,0.0,4.39
20.23,42.683,1.0,2.193,1.96,1.02,0.0,0.0,4.038
29.46,53.683,1.0,1.246,2.031,1.114,0.0,0.0,3.68
45.61,28.269,0.0,1.579,2.397,1.162,1.0,0.0,4.437
111.56,99.4,2.0,0.658,3.426,1.189,4.0,0.0,2.685
47.56,65.155,1.0,1.459,2.72,1.265,1.0,0.0,6.52
9.23,11.0,0.0,4.19,2.225,0.58,0.0,0.0,7.012
91.64,101.494,0.0,2.239,2.334,0.884,2.0,0.0,3.718
80.74,61.166,2.0,-0.31,1.918,0.578,2.0,1.0,4.221
17.07,25.145,0.0,1.769,1.989,0.927,0.0,0.0,3.976
86.81,121.412,3.0,0.709,2.938,1.416,2.0,0.0,2.958
45.82,50.747,0.0,3.11,2.165,0.478,1.0,0.0,4.434
62.73,86.378,2.0,2.59,2.546,1.277,5.0,0.0,3.601
18.46,22.0,0.0,1.262,2.147,1.576,0.0,0.0,2.272
70.14,50.908,3.0,-0.273,1.577,0.756,2.0,0.0,3.936
55.84,75.414,0.0,1.907,2.892,1.439,1.0,2.0,3.536
28.24,0.0,0.0,3.876,2.614,0.652,0.0,0.0,5.597
32.67,47.536,0.0,3.223,2.773,0.881,2.0,0.0,4.403
50.94,76.132,1.0,4.013,3.218,1.104,3.0,0.0,5.02
30.21,36.145,0.0,2.265,2.344,0.923,0.0,1.0,4.032
82.48,37.55,0.0,3.213,2.806,1.172,1.0,0.0,8.849
12.89,16.786,0.0,1.533,2.056,1.203,1.0,0.0,3.481
50.24,26.663,0.0,3.247,2.789,1.206,1.0,1.0,6.074
157.69,194.924,1.0,1.543,2.527,0.647,3.0,0.0,3.43
0.0,0.0,0.0,3.267,2.119,1.25,0.0,0.0,5.373
79.93,16.786,1.0,1.769,2.239,0.793,1.0,0.0,4.494
91.64,101.494,0.0,2.239,2.296,0.884,2.0,0.0,5.441
0.0,0.0,0.0,4.092,2.12,0.53,0.0,0.0,5.389
64.18,0.0,0.0,-0.049,1.155,1.5,0.0,1.0,4.56
103.67,119.505,1.0,3.546,2.847,1.211,3.0,0.0,3.725
12.53,11.0,0.0,0.408,1.689,1.038,0.0,0.0,3.587
40.46,85.367,2.0,3.306,2.832,0.917,0.0,0.0,4.301
0.0,0.0,0.0,5.551,3.231,0.689,0.0,0.0,6.004
75.99,73.774,1.0,0.057,2.093,1.123,2.0,1.0,6.964
115.41,71.512,0.0,2.223,2.903,1.295,1.0,0.0,8.15
0.0,0.0,0.0,4.416,2.57,0.723,0.0,0.0,5.422
12.53,11.0,0.0,4.452,2.716,0.49,0.0,0.0,5.513
18.46,22.0,0.0,1.466,2.15,1.22,0.0,0.0,2.937
20.23,42.683,1.0,3.127,2.57,0.797,0.0,0.0,5.38
115.41,71.512,0.0,1.602,2.687,1.288,1.0,0.0,7.341
58.2,86.311,2.0,3.652,3.557,1.237,2.0,2.0,4.249
9.23,11.0,0.0,0.8,1.509,2.003,0.0,0.0,1.73
45.82,50.747,0.0,2.842,2.154,0.726,1.0,0.0,4.268
47.36,56.055,0.0,3.373,3.471,0.992,3.0,0.0,4.943
129.95,30.53,0.0,1.145,2.637,1.444,0.0,0.0,9.15
0.0,0.0,0.0,3.259,1.975,1.111,0.0,0.0,4.53
0.0,0.0,0.0,2.226,1.265,0.57,0.0,0.0,3.718
0.0,0.0,0.0,4.332,2.727,0.758,0.0,0.0,6.7
42.52,44.313,0.0,1.473,2.241,1.158,0.0,0.0,4.072
88.03,86.378,2.0,2.273,2.575,1.159,5.0,0.0,3.63
118.65,210.6,1.0,3.773,3.759,0.95,1.0,2.0,4.501
0.0,0.0,0.0,5.165,3.111,0.732,0.0,0.0,6.219
69.67,97.435,0.0,3.122,3.723,1.26,0.0,2.0,7.371
0.0,0.0,0.0,1.817,1.225,0.502,0.0,0.0,3.254
26.02,32.897,2.0,1.506,1.857,0.815,1.0,0.0,5.371
23.79,31.059,0.0,0.094,1.334,1.115,1.0,1.0,3.78
110.45,141.047,1.0,2.767,3.488,1.216,2.0,2.0,4.071
38.33,54.156,1.0,2.222,2.725,1.012,1.0,0.0,5.942
32.67,45.055,0.0,3.355,3.097,0.889,2.0,1.0,4.821
22.0,73.15,0.0,3.983,3.431,0.951,1.0,0.0,4.9
9.23,11.0,0.0,3.395,2.692,0.941,0.0,0.0,5.433
20.31,28.269,0.0,0.198,1.782,1.559,1.0,1.0,4.906
79.63,77.875,2.0,1.326,3.024,1.126,5.0,0.0,5.054
110.96,13.843,0.0,3.089,3.015,0.889,0.0,0.0,6.442
138.26,86.133,0.0,0.491,2.854,1.146,0.0,2.0,8.349
45.82,50.747,0.0,2.509,2.119,0.617,1.0,0.0,4.31
54.57,41.028,0.0,4.449,2.988,1.497,0.0,0.0,6.56
29.46,53.683,1.0,1.629,2.353,1.2,0.0,0.0,2.614
110.96,13.843,0.0,1.971,2.52,1.012,0.0,0.0,8.207
15.79,0.0,1.0,2.859,2.614,0.752,1.0,0.0,4.7
0.0,0.0,0.0,4.416,2.605,0.723,0.0,0.0,5.626
39.44,45.652,0.0,4.332,4.121,1.12,0.0,1.0,8.164
0.0,0.0,0.0,2.942,1.989,1.063,0.0,0.0,4.502
0.0,44.88,0.0,2.419,1.509,0.731,0.0,0.0,3.954
0.0,0.0,0.0,2.226,1.401,0.57,0.0,0.0,3.492
0.0,0.0,0.0,6.232,2.766,0.493,0.0,0.0,7.509
13.14,9.507,0.0,3.743,2.995,0.783,0.0,0.0,4.737
29.46,53.683,1.0,3.842,2.887,0.614,0.0,0.0,6.109
37.3,67.828,1.0,2.06,2.06,1.529,0.0,1.0,3.08
86.52,117.437,2.0,2.031,2.679,1.198,6.0,1.0,6.447
40.46,85.367,2.0,0.706,1.689,1.594,0.0,0.0,1.22
44.45,16.786,0.0,3.33,2.281,0.701,1.0,1.0,6.54
0.0,0.0,0.0,2.226,1.401,0.826,0.0,0.0,3.339
38.69,64.683,1.0,0.224,2.108,1.904,0.0,0.0,1.888
0.0,0.0,0.0,2.459,1.475,1.5,0.0,0.0,4.002
0.0,0.0,0.0,3.876,2.539,0.837,0.0,0.0,4.909
0.0,0.0,0.0,5.472,2.676,0.577,0.0,0.0,5.64
0.0,0.0,0.0,5.989,2.712,0.529,0.0,0.0,6.99
45.61,28.269,0.0,3.092,2.814,0.948,1.0,0.0,5.548
59.32,78.204,0.0,3.907,3.934,0.908,1.0,2.0,9.063
20.23,42.683,1.0,3.921,2.494,1.229,0.0,0.0,6.36
38.77,22.156,0.0,2.779,2.639,0.859,0.0,0.0,4.001
65.57,76.79,1.0,0.489,1.999,1.533,0.0,0.0,7.699
64.16,92.47,0.0,3.613,4.245,1.175,4.0,2.0,4.835
3.24,3.124,0.0,4.48,3.258,1.31,1.0,0.0,5.721
92.14,107.097,1.0,4.275,4.174,1.174,1.0,1.0,4.112
0.0,0.0,0.0,3.562,2.031,1.15,0.0,0.0,5.45
118.06,85.367,4.0,-0.081,1.768,1.061,0.0,0.0,3.758
20.23,42.683,1.0,1.209,1.43,0.476,0.0,0.0,3.002
26.02,32.897,2.0,2.127,1.924,0.597,1.0,0.0,6.409
121.26,6.249,0.0,2.869,3.095,0.862,2.0,0.0,6.188
9.23,11.0,0.0,2.723,2.321,1.165,0.0,0.0,7.337
0.0,0.0,0.0,4.76,2.868,0.7,0.0,0.0,6.281
67.79,107.839,2.0,2.347,3.243,1.4,1.0,1.0,3.917
68.01,92.593,3.0,-0.283,2.17,0.893,3.0,1.0,3.775
0.0,0.0,0.0,4.332,2.7,0.758,0.0,0.0,5.406
71.84,83.644,2.0,1.969,2.168,0.531,2.0,0.0,4.489
7.76,0.0,0.0,1.586,2.674,1.166,2.0,0.0,4.823
115.41,71.512,0.0,1.919,2.72,1.291,1.0,0.0,7.671
26.02,32.897,2.0,2.729,1.975,0.462,1.0,0.0,5.43
29.54,39.269,0.0,3.026,2.828,1.243,1.0,1.0,4.339
3.24,3.124,0.0,9.148,5.497,1.559,1.0,0.0,5.96
91.64,101.494,0.0,1.886,2.287,0.769,2.0,0.0,3.591
