0,1,2,3,4,5,6,7,8,target
146.0,178.0,0.0,192.0,11.0,961.0,749.0,18.0,46.0,17.19
143.0,131.0,168.0,217.0,6.0,891.0,672.0,25.0,69.0,26.42
163.0,149.0,191.0,180.0,12.0,843.0,746.0,0.0,20.0,41.14
342.0,136.0,0.0,225.0,11.0,770.0,747.0,21.0,61.0,32.04
320.0,127.0,164.0,211.0,6.0,721.0,723.0,2.0,20.0,46.36
313.0,124.0,0.0,205.0,11.0,846.0,758.0,22.0,49.0,29.63
273.0,82.0,105.0,210.0,9.0,904.0,680.0,23.0,62.0,34.99
310.0,0.0,143.0,168.0,10.0,914.0,804.0,20.5,48.2,49.3
215.6,112.9,239.0,198.7,7.4,884.0,649.1,27.5,64.0,39.13
140.0,1.4,198.1,174.9,4.4,1049.9,780.5,16.25,31.0,30.83
299.0,107.0,0.0,210.0,10.0,881.0,745.0,25.0,63.0,28.29
162.0,148.0,191.0,179.0,16.0,840.0,743.0,1.0,20.0,41.81
148.0,180.0,0.0,183.0,11.0,972.0,757.0,0.0,20.0,18.52
313.0,112.0,0.0,220.0,10.0,794.0,789.0,23.0,58.0,28.16
172.0,162.1,238.5,166.0,7.4,953.3,641.4,0.0,20.0,41.54
310.0,0.0,143.0,218.0,10.0,787.0,804.0,13.0,46.0,36.19
295.0,106.0,136.0,208.0,6.0,871.0,650.0,26.5,70.0,39.4
159.0,116.0,149.0,175.0,15.0,953.0,720.0,23.5,54.5,34.05
147.0,89.0,115.0,202.0,9.0,860.0,829.0,23.0,55.0,25.21
303.8,0.2,239.8,236.4,8.3,780.1,715.3,25.0,78.0,44.48
309.0,0.0,142.0,218.0,10.0,912.0,680.0,24.0,62.0,38.59
356.0,142.0,0.0,193.0,11.0,801.0,778.0,8.0,30.0,36.46
159.0,0.0,187.0,176.0,11.0,990.0,789.0,12.0,39.0,32.57
194.3,0.3,240.0,234.2,8.9,780.6,811.3,26.5,78.0,38.46
142.0,130.0,167.0,174.0,11.0,883.0,785.0,0.0,20.0,36.72
