0,1,2,3,4,5,target
-5.0,0.6,4.78,4.24,3.15,0.4,20.41
-2.3,0.53,5.11,3.69,3.51,0.375,14.11
-5.0,0.53,4.78,3.75,3.15,0.125,0.09
-2.3,0.565,4.78,5.35,2.76,0.225,1.31
-2.3,0.565,4.78,5.35,2.76,0.4,21.4
-2.3,0.569,4.78,3.04,3.64,0.225,1.06
-2.3,0.564,5.1,3.95,3.53,0.125,0.2
0.0,0.565,4.77,3.99,3.15,0.2,0.79
-2.3,0.569,4.78,3.04,3.64,0.45,51.8
-2.4,0.574,4.36,3.96,2.76,0.325,5.19
-2.4,0.574,4.36,3.96,2.76,0.45,50.36
-2.3,0.53,4.76,3.68,3.16,0.325,4.41
-2.3,0.53,5.11,3.69,3.51,0.275,2.17
-2.3,0.568,4.78,3.99,3.17,0.45,49.49
-5.0,0.565,5.1,3.94,3.51,0.175,0.45
-2.4,0.568,4.34,2.98,3.15,0.325,4.62
-2.3,0.565,4.78,5.35,2.76,0.425,33.14
-2.3,0.6,5.1,4.17,3.51,0.225,1.24
-2.3,0.53,5.11,3.69,3.51,0.225,1.11
-2.3,0.6,4.34,4.23,2.73,0.4,19.59
0.0,0.6,4.78,4.24,3.15,0.175,0.4
-2.3,0.6,4.34,4.23,2.73,0.15,0.17
-2.4,0.574,4.36,3.96,2.76,0.35,8.03
-2.3,0.562,5.14,4.95,3.17,0.15,0.44
-2.3,0.53,5.11,3.69,3.51,0.35,7.84
-2.4,0.574,4.36,3.96,2.76,0.4,21.51
-2.3,0.6,4.34,4.23,2.73,0.375,12.27
-5.0,0.565,5.1,3.94,3.51,0.4,20.91
-5.0,0.565,5.1,3.94,3.51,0.275,2.59
-5.0,0.565,5.1,3.94,3.51,0.45,49.14
0.0,0.53,4.78,3.75,3.15,0.375,16.31
-2.3,0.564,5.1,3.95,3.53,0.225,1.37
-2.3,0.6,5.1,4.17,3.51,0.15,0.16
-2.3,0.6,5.1,4.17,3.51,0.3,4.46
-2.3,0.569,4.78,3.04,3.64,0.375,11.99
-2.3,0.53,4.34,2.81,3.15,0.15,0.17
0.0,0.6,4.78,4.24,3.15,0.225,1.3
-2.4,0.585,4.78,3.84,3.32,0.125,0.2
-2.3,0.568,4.78,3.99,3.17,0.4,20.11
-5.0,0.565,5.1,3.94,3.51,0.25,1.76
-5.0,0.6,4.78,4.24,3.15,0.325,6.2
-2.4,0.585,4.78,3.84,3.32,0.4,19.18
-2.3,0.562,5.14,4.95,3.17,0.425,32.34
-2.4,0.585,4.78,3.84,3.32,0.375,12.15
-2.3,0.53,5.11,3.69,3.51,0.15,0.25
-2.3,0.565,4.78,5.35,2.76,0.35,8.25
-2.3,0.568,4.78,3.99,3.17,0.25,1.82
-5.0,0.6,4.78,4.24,3.15,0.35,8.62
-2.2,0.546,4.78,4.13,3.07,0.35,7.37
-2.3,0.564,5.1,3.95,3.53,0.275,2.83
-2.3,0.6,5.1,4.17,3.51,0.275,3.04
-2.3,0.562,5.14,4.95,3.17,0.275,3.09
-2.3,0.565,4.78,5.35,2.76,0.45,50.14
0.0,0.565,4.77,3.99,3.15,0.275,2.88
-2.4,0.568,4.34,2.98,3.15,0.3,3.43
-5.0,0.53,4.78,3.75,3.15,0.25,1.85
-2.3,0.53,4.34,2.81,3.15,0.25,1.43
-2.3,0.6,4.34,4.23,2.73,0.2,0.64
-2.3,0.6,5.1,4.17,3.51,0.45,47.13
-2.3,0.6,4.34,4.23,2.73,0.45,46.66
-2.3,0.53,4.76,3.68,3.16,0.15,0.23
-2.3,0.562,5.14,4.95,3.17,0.2,1.07
-2.3,0.53,4.76,3.68,3.16,0.2,0.76
-2.3,0.53,4.76,3.68,3.16,0.35,7.51
-5.0,0.565,5.1,3.94,3.51,0.3,3.85
0.0,0.565,5.1,3.94,3.51,0.375,14.24
-2.3,0.568,4.78,3.99,3.17,0.375,11.93
-2.3,0.53,5.11,3.69,3.51,0.125,0.08
-5.0,0.565,4.77,3.99,3.15,0.275,2.77
-2.3,0.53,4.76,3.68,3.16,0.125,0.1
0.0,0.565,4.77,3.99,3.15,0.3,4.14
-2.4,0.574,4.36,3.96,2.76,0.25,1.97
-5.0,0.53,4.78,3.75,3.15,0.225,1.21
-5.0,0.565,4.77,3.99,3.15,0.325,5.41
0.0,0.53,4.78,3.75,3.15,0.25,1.94
-2.4,0.568,4.34,2.98,3.15,0.225,1.09
-2.3,0.6,4.34,4.23,2.73,0.325,6.0
-2.3,0.53,5.11,3.69,3.51,0.325,4.42
-2.3,0.564,5.1,3.95,3.53,0.15,0.35
-2.3,0.568,4.78,3.99,3.17,0.225,1.18
-5.0,0.6,4.78,4.24,3.15,0.225,1.13
-5.0,0.53,4.78,3.75,3.15,0.35,7.95
-2.3,0.564,5.1,3.95,3.53,0.425,33.97
-2.4,0.574,4.36,3.96,2.76,0.375,12.86
0.0,0.565,4.77,3.99,3.15,0.425,38.12
-2.4,0.574,4.36,3.96,2.76,0.275,2.83
-5.0,0.565,4.77,3.99,3.15,0.35,7.87
0.0,0.565,4.77,3.99,3.15,0.175,0.49
-5.0,0.53,4.78,3.75,3.15,0.3,3.69
-2.4,0.568,4.34,2.98,3.15,0.25,1.67
-2.4,0.568,4.34,2.98,3.15,0.425,34.5
-2.4,0.574,4.36,3.96,2.76,0.3,3.99
